num_of_nodes,paut_size,label,dataset_type,strategy
13,10,1,train,positive
13,10,1,train,positive
13,10,1,train,positive
13,10,1,train,positive
13,8,1,train,positive
13,9,1,train,positive
13,7,1,train,positive
13,8,1,train,positive
13,9,1,train,positive
13,8,1,train,positive
13,8,1,train,positive
13,7,1,train,positive
13,8,0,train,blocking
13,7,0,train,blocking
13,8,0,train,blocking
13,8,0,train,blocking
13,7,0,train,blocking
13,8,0,train,blocking
13,9,0,train,blocking
13,7,0,train,blocking
13,8,0,train,blocking
13,7,0,train,blocking
13,8,0,train,blocking
13,9,0,train,blocking
13,9,1,train,positive
13,10,1,train,positive
13,10,1,train,positive
13,7,1,train,positive
13,9,0,train,blocking
13,7,0,train,blocking
13,8,0,train,blocking
13,8,0,train,blocking
13,8,1,train,positive
13,7,1,train,positive
13,8,1,train,positive
13,9,1,train,positive
13,8,0,train,blocking
13,9,0,train,blocking
13,10,0,train,blocking
13,8,0,train,blocking
13,10,1,train,positive
13,9,1,train,positive
13,7,1,train,positive
13,7,1,train,positive
13,8,0,train,blocking
13,9,0,train,blocking
13,10,0,train,blocking
13,8,0,train,blocking
13,7,1,train,positive
13,9,1,train,positive
13,10,1,train,positive
13,8,1,train,positive
13,8,1,train,positive
13,8,1,train,positive
13,7,1,train,positive
13,7,1,train,positive
13,7,0,train,blocking
13,9,0,train,blocking
13,9,0,train,blocking
13,8,0,train,blocking
13,7,0,train,blocking
13,8,0,train,blocking
13,8,0,train,blocking
13,8,0,train,blocking
13,9,0,train,pseudo_similar
13,7,0,train,pseudo_similar
13,10,0,train,pseudo_similar
13,9,0,train,pseudo_similar
13,9,0,train,pseudo_similar
13,8,0,train,pseudo_similar
13,9,0,train,pseudo_similar
13,7,0,train,pseudo_similar
13,9,0,train,pseudo_similar
13,10,0,train,pseudo_similar
13,10,1,train,positive
13,9,1,train,positive
13,8,1,train,positive
13,8,1,train,positive
13,10,1,train,positive
13,7,1,train,positive
13,9,1,train,positive
13,9,1,train,positive
13,9,1,train,positive
13,9,1,train,positive
13,7,0,train,pseudo_similar
13,8,0,train,pseudo_similar
13,10,0,train,pseudo_similar
13,7,0,train,pseudo_similar
13,9,1,train,positive
13,9,1,train,positive
13,7,1,train,positive
13,8,1,train,positive
13,7,1,train,positive
13,8,1,train,positive
13,8,1,train,positive
13,10,1,train,positive
13,10,1,train,positive
13,7,1,train,positive
13,9,1,train,positive
13,8,1,train,positive
13,8,1,train,positive
13,8,1,train,positive
13,8,1,train,positive
13,8,1,train,positive
13,10,1,train,positive
13,9,1,train,positive
13,7,1,train,positive
13,9,1,train,positive
13,7,0,train,blocking
13,8,0,train,blocking
13,8,0,train,blocking
13,8,0,train,blocking
13,9,0,train,blocking
13,7,0,train,blocking
13,9,0,train,blocking
13,8,0,train,blocking
13,8,0,train,blocking
13,8,0,train,blocking
13,8,0,train,pseudo_similar
13,7,0,train,pseudo_similar
13,10,0,train,pseudo_similar
13,9,0,train,pseudo_similar
13,7,0,train,pseudo_similar
13,10,0,train,pseudo_similar
13,9,0,train,pseudo_similar
13,9,0,train,pseudo_similar
13,7,1,train,positive
13,7,1,train,positive
13,8,1,train,positive
13,9,1,train,positive
13,10,1,train,positive
13,9,1,train,positive
13,8,1,train,positive
13,10,1,train,positive
13,9,0,train,pseudo_similar
13,8,0,train,pseudo_similar
13,10,0,train,pseudo_similar
13,10,0,train,pseudo_similar
13,7,0,train,pseudo_similar
13,7,0,train,pseudo_similar
13,9,0,train,pseudo_similar
13,10,0,train,pseudo_similar
13,7,0,train,pseudo_similar
13,7,0,train,pseudo_similar
13,9,0,train,pseudo_similar
13,8,0,train,pseudo_similar
13,7,0,train,pseudo_similar
13,8,0,train,pseudo_similar
13,9,0,train,pseudo_similar
13,8,0,train,pseudo_similar
13,10,0,train,pseudo_similar
13,10,0,train,pseudo_similar
13,8,0,train,pseudo_similar
13,10,0,train,pseudo_similar
13,8,0,train,pseudo_similar
13,10,0,train,pseudo_similar
13,10,0,train,pseudo_similar
13,7,0,train,pseudo_similar
13,10,1,train,positive
13,10,1,train,positive
13,9,1,train,positive
13,8,1,train,positive
13,7,1,train,positive
13,9,1,train,positive
13,10,1,train,positive
13,10,1,train,positive
13,7,1,train,positive
13,10,1,train,positive
13,10,1,train,positive
13,9,1,train,positive
13,7,1,train,positive
13,10,1,train,positive
13,7,1,train,positive
13,8,1,train,positive
13,8,1,train,positive
13,7,1,train,positive
13,9,1,train,positive
13,9,1,train,positive
13,9,0,train,blocking
13,8,0,train,blocking
13,8,0,train,blocking
13,8,0,train,blocking
13,8,0,train,blocking
13,9,0,train,blocking
13,10,0,train,blocking
13,10,0,train,blocking
13,8,0,train,blocking
13,7,0,train,blocking
13,8,0,train,blocking
13,7,0,train,blocking
13,9,0,train,blocking
13,9,0,train,blocking
13,8,0,train,blocking
13,8,0,train,blocking
13,9,0,train,blocking
13,9,0,train,blocking
13,8,0,train,blocking
13,9,0,train,blocking
13,7,1,train,positive
13,9,1,train,positive
13,9,1,train,positive
13,7,1,train,positive
13,8,1,train,positive
13,10,1,train,positive
13,7,1,train,positive
13,7,1,train,positive
13,8,0,train,blocking
13,8,0,train,blocking
13,7,0,train,blocking
13,7,0,train,blocking
13,9,0,train,blocking
13,8,0,train,blocking
13,8,0,train,blocking
13,7,0,train,blocking
13,8,1,train,positive
13,10,1,train,positive
13,8,1,train,positive
13,10,1,train,positive
13,10,1,train,positive
13,10,1,train,positive
13,8,1,train,positive
13,7,1,train,positive
13,7,0,train,blocking
13,8,0,train,blocking
13,7,0,train,blocking
13,8,0,train,blocking
13,8,0,train,blocking
13,7,0,train,blocking
13,8,0,train,blocking
13,9,0,train,blocking
13,8,0,train,pseudo_similar
13,7,0,train,pseudo_similar
13,9,0,train,pseudo_similar
13,9,0,train,pseudo_similar
13,10,0,train,pseudo_similar
13,8,0,train,pseudo_similar
13,8,0,train,pseudo_similar
13,10,0,train,pseudo_similar
13,9,0,train,pseudo_similar
13,10,0,train,pseudo_similar
13,7,1,train,positive
13,8,1,train,positive
13,8,1,train,positive
13,10,1,train,positive
13,10,1,train,positive
13,9,1,train,positive
13,10,1,train,positive
13,7,1,train,positive
13,10,1,train,positive
13,7,1,train,positive
13,7,0,train,pseudo_similar
13,8,0,train,pseudo_similar
13,7,0,train,pseudo_similar
13,8,0,train,pseudo_similar
13,7,0,train,pseudo_similar
13,9,0,train,pseudo_similar
13,7,1,train,positive
13,8,1,train,positive
13,7,1,train,positive
13,9,1,train,positive
13,7,1,train,positive
13,9,1,train,positive
13,7,1,train,positive
13,8,1,train,positive
13,7,1,train,positive
13,9,1,train,positive
13,10,1,train,positive
13,9,1,train,positive
13,7,1,train,positive
13,10,1,train,positive
13,7,1,train,positive
13,7,1,train,positive
13,8,1,train,positive
13,10,1,train,positive
13,7,0,train,blocking
13,9,0,train,blocking
13,8,0,train,blocking
13,9,0,train,blocking
13,7,0,train,blocking
13,8,0,train,blocking
13,7,0,train,blocking
13,9,0,train,blocking
13,9,0,train,blocking
13,8,0,train,blocking
13,7,0,train,blocking
13,9,0,train,blocking
13,7,1,train,positive
13,10,1,train,positive
13,8,1,train,positive
13,7,1,train,positive
13,8,1,train,positive
13,10,1,train,positive
13,7,1,train,positive
13,8,1,train,positive
13,9,1,train,positive
13,8,1,train,positive
13,10,1,train,positive
13,10,1,train,positive
13,7,1,train,positive
13,8,1,train,positive
13,9,1,train,positive
13,8,1,train,positive
13,8,1,train,positive
13,9,1,train,positive
13,7,1,train,positive
13,9,1,train,positive
13,8,0,train,blocking
13,7,0,train,blocking
13,8,0,train,blocking
13,8,0,train,blocking
13,8,0,train,blocking
13,7,0,train,blocking
13,10,0,train,blocking
13,9,0,train,blocking
13,7,0,train,blocking
13,7,0,train,blocking
13,8,0,train,blocking
13,7,0,train,blocking
13,9,0,train,blocking
13,7,0,train,blocking
13,9,0,train,blocking
13,9,0,train,blocking
13,8,0,train,blocking
13,10,0,train,blocking
13,8,0,train,blocking
13,7,0,train,blocking
13,7,0,train,pseudo_similar
13,10,0,train,pseudo_similar
13,8,0,train,pseudo_similar
13,8,0,train,pseudo_similar
13,9,0,train,pseudo_similar
13,7,0,train,pseudo_similar
13,9,0,train,pseudo_similar
13,8,0,train,pseudo_similar
13,8,1,train,positive
13,10,1,train,positive
13,10,1,train,positive
13,7,1,train,positive
13,8,1,train,positive
13,7,1,train,positive
13,7,1,train,positive
13,10,1,train,positive
13,7,1,train,positive
13,7,1,train,positive
13,8,1,train,positive
13,8,1,train,positive
13,9,1,train,positive
13,8,1,train,positive
13,8,1,train,positive
13,7,1,train,positive
13,10,1,train,positive
13,8,1,train,positive
13,10,1,train,positive
13,7,1,train,positive
13,9,1,train,positive
13,8,1,train,positive
13,7,1,train,positive
13,7,1,train,positive
13,7,1,train,positive
13,10,1,train,positive
13,10,1,train,positive
13,7,1,train,positive
13,10,0,train,blocking
13,10,0,train,blocking
13,10,0,train,blocking
13,10,0,train,blocking
13,8,0,train,blocking
13,8,0,train,blocking
13,8,0,train,blocking
13,10,0,train,blocking
13,8,0,train,blocking
13,9,0,train,blocking
13,10,0,train,blocking
13,9,0,train,blocking
13,8,0,train,blocking
13,10,0,train,blocking
13,9,0,train,blocking
13,8,0,train,blocking
13,8,0,train,blocking
13,9,0,train,blocking
13,8,0,train,blocking
13,9,0,train,blocking
13,10,1,train,positive
13,8,1,train,positive
13,8,0,train,blocking
13,9,0,train,blocking
13,8,0,train,pseudo_similar
13,9,0,train,pseudo_similar
13,10,0,train,pseudo_similar
13,7,1,train,positive
13,9,1,train,positive
13,8,1,train,positive
13,7,1,train,positive
13,10,1,train,positive
13,7,1,train,positive
13,10,1,train,positive
13,7,1,train,positive
13,10,1,train,positive
13,8,1,train,positive
13,7,1,train,positive
13,10,1,train,positive
13,8,0,train,blocking
13,8,0,train,blocking
13,8,0,train,blocking
13,10,0,train,blocking
13,8,0,train,blocking
13,9,0,train,blocking
13,8,0,train,blocking
13,7,0,train,blocking
13,9,0,train,blocking
13,8,0,train,blocking
13,8,0,train,blocking
13,7,0,train,blocking
13,8,0,train,pseudo_similar
13,8,0,train,pseudo_similar
13,9,0,train,pseudo_similar
13,7,0,train,pseudo_similar
13,10,0,train,pseudo_similar
13,10,0,train,pseudo_similar
13,10,0,train,pseudo_similar
13,10,0,train,pseudo_similar
13,7,0,train,pseudo_similar
13,8,0,train,pseudo_similar
13,10,0,train,pseudo_similar
13,10,0,train,pseudo_similar
13,9,0,train,pseudo_similar
13,7,0,train,pseudo_similar
13,10,0,train,pseudo_similar
13,7,0,train,pseudo_similar
13,7,0,train,pseudo_similar
13,9,1,train,positive
13,8,1,train,positive
13,9,1,train,positive
13,7,1,train,positive
13,8,0,train,blocking
13,7,0,train,blocking
13,8,0,train,blocking
13,9,0,train,blocking
13,8,1,train,positive
13,8,1,train,positive
13,8,0,train,blocking
13,7,0,train,blocking
13,9,1,train,positive
13,7,1,train,positive
13,9,1,train,positive
13,10,1,train,positive
13,8,1,train,positive
13,10,1,train,positive
13,8,1,train,positive
13,10,1,train,positive
13,8,0,train,blocking
13,8,0,train,blocking
13,7,0,train,blocking
13,9,0,train,blocking
13,7,0,train,blocking
13,9,0,train,blocking
13,9,0,train,blocking
13,8,0,train,blocking
13,8,0,train,pseudo_similar
13,7,0,train,pseudo_similar
13,8,0,train,pseudo_similar
13,9,0,train,pseudo_similar
13,8,1,train,positive
13,7,1,train,positive
13,9,1,train,positive
13,7,1,train,positive
13,9,1,train,positive
13,8,1,train,positive
13,10,1,train,positive
13,7,1,train,positive
13,7,0,train,blocking
13,7,0,train,blocking
13,8,0,train,blocking
13,8,0,train,blocking
13,8,0,train,blocking
13,8,0,train,blocking
13,7,0,train,blocking
13,8,0,train,blocking
13,7,1,train,positive
13,7,1,train,positive
13,7,1,train,positive
13,10,1,train,positive
13,10,1,train,positive
13,7,1,train,positive
13,9,1,train,positive
13,10,1,train,positive
13,7,1,train,positive
13,9,1,train,positive
13,9,1,train,positive
13,7,1,train,positive
13,8,1,train,positive
13,7,1,train,positive
13,8,1,train,positive
13,10,1,train,positive
13,7,1,train,positive
13,8,1,train,positive
13,7,1,train,positive
13,7,1,train,positive
13,8,0,train,blocking
13,8,0,train,blocking
13,7,0,train,blocking
13,9,0,train,blocking
13,8,0,train,blocking
13,10,0,train,blocking
13,8,0,train,blocking
13,8,0,train,blocking
13,8,0,train,blocking
13,7,0,train,blocking
13,8,0,train,pseudo_similar
13,9,0,train,pseudo_similar
13,9,0,train,pseudo_similar
13,9,0,train,pseudo_similar
13,8,0,train,pseudo_similar
13,10,0,train,pseudo_similar
13,7,0,train,pseudo_similar
13,8,0,train,pseudo_similar
13,7,1,train,positive
13,9,1,train,positive
13,10,1,train,positive
13,9,1,train,positive
13,7,1,train,positive
13,9,1,train,positive
13,7,1,train,positive
13,8,1,train,positive
13,8,1,train,positive
13,10,1,train,positive
13,8,0,train,blocking
13,9,0,train,blocking
13,9,1,train,positive
13,7,1,train,positive
13,8,1,train,positive
13,8,1,train,positive
13,8,1,train,positive
13,8,1,train,positive
13,9,1,train,positive
13,8,1,train,positive
13,10,1,train,positive
13,8,1,train,positive
13,10,1,train,positive
13,8,1,train,positive
13,10,1,train,positive
13,8,1,train,positive
13,7,1,train,positive
13,8,1,train,positive
13,8,1,train,positive
13,9,1,train,positive
13,8,1,train,positive
13,7,1,train,positive
13,7,0,train,blocking
13,8,0,train,blocking
13,7,0,train,blocking
13,8,0,train,blocking
13,7,0,train,blocking
13,7,0,train,blocking
13,8,0,train,blocking
13,7,0,train,blocking
13,8,0,train,blocking
13,7,0,train,blocking
13,10,1,train,positive
13,7,1,train,positive
13,7,1,train,positive
13,10,1,train,positive
13,8,1,train,positive
13,7,1,train,positive
13,10,1,train,positive
13,8,1,train,positive
13,8,1,train,positive
13,8,1,train,positive
13,10,1,train,positive
13,9,1,train,positive
13,9,0,train,blocking
13,8,0,train,blocking
13,10,0,train,blocking
13,10,0,train,blocking
13,8,0,train,blocking
13,9,0,train,blocking
13,8,0,train,blocking
13,9,0,train,blocking
13,8,0,train,blocking
13,7,0,train,blocking
13,8,0,train,blocking
13,8,0,train,blocking
13,9,0,train,pseudo_similar
13,10,0,train,pseudo_similar
13,10,0,train,pseudo_similar
13,7,0,train,pseudo_similar
13,10,0,train,pseudo_similar
13,9,0,train,pseudo_similar
13,9,0,train,pseudo_similar
13,8,0,train,pseudo_similar
13,9,0,train,pseudo_similar
13,10,0,train,pseudo_similar
13,10,1,train,positive
13,10,1,train,positive
13,10,1,train,positive
13,9,1,train,positive
13,8,1,train,positive
13,8,1,train,positive
13,9,1,train,positive
13,8,1,train,positive
13,7,1,train,positive
13,10,1,train,positive
13,10,1,train,positive
13,10,1,train,positive
13,8,1,train,positive
13,9,1,train,positive
13,7,1,train,positive
13,7,1,train,positive
13,8,1,train,positive
13,9,1,train,positive
13,9,0,train,blocking
13,8,0,train,blocking
13,8,0,train,blocking
13,9,0,train,blocking
13,9,0,train,blocking
13,9,0,train,blocking
13,9,0,train,blocking
13,7,0,train,blocking
13,10,1,train,positive
13,9,1,train,positive
13,7,0,train,blocking
13,7,0,train,blocking
13,9,1,train,positive
13,8,1,train,positive
13,7,1,train,positive
13,9,1,train,positive
13,10,1,train,positive
13,10,1,train,positive
13,9,1,train,positive
13,10,1,train,positive
13,7,1,train,positive
13,9,1,train,positive
13,10,1,train,positive
13,10,1,train,positive
13,8,1,train,positive
13,9,1,train,positive
13,8,1,train,positive
13,7,1,train,positive
13,7,0,train,blocking
13,8,0,train,blocking
13,9,0,train,blocking
13,8,0,train,blocking
13,8,0,train,blocking
13,8,0,train,blocking
13,8,0,train,blocking
13,8,0,train,blocking
13,8,0,train,blocking
13,7,0,train,blocking
13,8,0,train,blocking
13,8,0,train,blocking
13,9,0,train,blocking
13,7,0,train,blocking
13,8,0,train,blocking
13,8,0,train,blocking
13,10,1,train,positive
13,10,1,train,positive
13,10,1,train,positive
13,7,1,train,positive
13,8,0,train,blocking
13,10,0,train,blocking
13,7,0,train,blocking
13,7,0,train,blocking
13,8,1,train,positive
13,7,1,train,positive
13,9,1,train,positive
13,9,1,train,positive
13,9,1,train,positive
13,9,1,train,positive
13,10,1,train,positive
13,8,1,train,positive
13,9,1,train,positive
13,10,1,train,positive
13,9,1,train,positive
13,9,1,train,positive
13,10,1,train,positive
13,9,1,train,positive
13,10,1,train,positive
13,9,1,train,positive
13,8,0,train,blocking
13,7,0,train,blocking
13,8,0,train,blocking
13,7,0,train,blocking
13,9,0,train,blocking
13,8,0,train,blocking
13,8,0,train,blocking
13,8,0,train,blocking
13,8,1,train,positive
13,9,1,train,positive
13,9,1,train,positive
13,10,1,train,positive
13,9,1,train,positive
13,10,1,train,positive
13,9,1,train,positive
13,7,1,train,positive
13,8,1,train,positive
13,8,1,train,positive
13,8,1,train,positive
13,8,1,train,positive
13,10,1,train,positive
13,9,1,train,positive
13,7,1,train,positive
13,7,1,train,positive
13,8,1,train,positive
13,9,1,train,positive
13,7,1,train,positive
13,7,1,train,positive
13,7,0,train,blocking
13,8,0,train,blocking
13,9,0,train,blocking
13,9,0,train,blocking
13,7,0,train,blocking
13,9,0,train,blocking
13,10,0,train,blocking
13,8,0,train,blocking
13,8,0,train,blocking
13,8,0,train,blocking
13,9,0,train,blocking
13,10,0,train,blocking
13,10,0,train,blocking
13,9,0,train,blocking
13,9,0,train,blocking
13,7,0,train,blocking
13,9,0,train,blocking
13,10,0,train,blocking
13,7,0,train,blocking
13,8,0,train,blocking
13,10,0,train,pseudo_similar
13,7,0,train,pseudo_similar
13,7,0,train,pseudo_similar
13,8,0,train,pseudo_similar
13,9,0,train,pseudo_similar
13,9,0,train,pseudo_similar
13,8,0,train,pseudo_similar
13,7,0,train,pseudo_similar
13,7,1,train,positive
13,10,1,train,positive
13,7,1,train,positive
13,10,1,train,positive
13,8,1,train,positive
13,10,1,train,positive
13,8,1,train,positive
13,9,1,train,positive
13,7,1,train,positive
13,7,1,train,positive
13,10,1,train,positive
13,10,1,train,positive
13,9,1,train,positive
13,7,1,train,positive
13,9,1,train,positive
13,8,1,train,positive
13,10,1,train,positive
13,8,1,train,positive
13,7,1,train,positive
13,9,1,train,positive
13,7,0,train,blocking
13,8,0,train,blocking
13,9,0,train,blocking
13,8,0,train,blocking
13,9,0,train,blocking
13,8,0,train,blocking
13,8,0,train,blocking
13,10,0,train,blocking
13,9,0,train,blocking
13,10,0,train,blocking
13,9,0,train,blocking
13,7,0,train,blocking
13,9,0,train,blocking
13,8,0,train,blocking
13,8,0,train,blocking
13,8,0,train,blocking
13,8,0,train,blocking
13,8,0,train,blocking
13,10,0,train,blocking
13,9,0,train,blocking
13,9,1,train,positive
13,8,1,train,positive
13,9,1,train,positive
13,8,1,train,positive
13,7,1,train,positive
13,7,1,train,positive
13,8,1,train,positive
13,10,1,train,positive
13,9,1,train,positive
13,10,1,train,positive
13,8,1,train,positive
13,7,1,train,positive
13,8,1,train,positive
13,10,1,train,positive
13,8,1,train,positive
13,8,1,train,positive
13,7,1,train,positive
13,7,1,train,positive
13,7,1,train,positive
13,7,1,train,positive
13,8,0,train,blocking
13,8,0,train,blocking
13,8,0,train,blocking
13,9,0,train,blocking
13,8,0,train,blocking
13,8,0,train,blocking
13,9,0,train,blocking
13,10,0,train,blocking
13,9,0,train,blocking
13,9,0,train,blocking
13,9,0,train,blocking
13,7,0,train,blocking
13,8,0,train,blocking
13,7,0,train,blocking
13,7,0,train,blocking
13,7,0,train,blocking
13,10,0,train,blocking
13,8,0,train,blocking
13,9,0,train,blocking
13,8,0,train,blocking
13,8,1,train,positive
13,7,1,train,positive
13,9,1,train,positive
13,7,1,train,positive
13,10,1,train,positive
13,8,1,train,positive
13,9,1,train,positive
13,8,1,train,positive
13,9,1,train,positive
13,8,1,train,positive
13,8,1,train,positive
13,9,1,train,positive
13,7,0,train,blocking
13,8,0,train,blocking
13,7,0,train,blocking
13,7,0,train,blocking
13,8,0,train,blocking
13,9,0,train,blocking
13,10,1,train,positive
13,10,1,train,positive
13,7,1,train,positive
13,8,1,train,positive
13,8,1,train,positive
13,8,1,train,positive
13,10,1,train,positive
13,9,1,train,positive
13,9,1,train,positive
13,10,1,train,positive
13,9,1,train,positive
13,8,1,train,positive
13,9,1,train,positive
13,7,1,train,positive
13,10,1,train,positive
13,10,1,train,positive
13,8,0,train,blocking
13,9,0,train,blocking
13,8,0,train,blocking
13,8,0,train,blocking
13,7,0,train,blocking
13,9,0,train,blocking
13,9,0,train,blocking
13,8,0,train,blocking
13,7,0,train,blocking
13,8,0,train,blocking
13,8,0,train,blocking
13,8,0,train,blocking
13,8,0,train,blocking
13,8,0,train,blocking
13,8,0,train,blocking
13,7,0,train,blocking
13,7,1,train,positive
13,7,1,train,positive
13,8,1,train,positive
13,8,1,train,positive
13,10,1,train,positive
13,8,1,train,positive
13,10,1,train,positive
13,8,1,train,positive
13,9,1,train,positive
13,9,1,train,positive
13,8,1,train,positive
13,7,1,train,positive
13,8,1,train,positive
13,8,1,train,positive
13,9,1,train,positive
13,7,1,train,positive
13,8,1,train,positive
13,7,1,train,positive
13,8,1,train,positive
13,10,1,train,positive
13,9,0,train,blocking
13,8,0,train,blocking
13,9,0,train,blocking
13,8,0,train,blocking
13,9,0,train,blocking
13,8,0,train,blocking
13,8,0,train,blocking
13,7,0,train,blocking
13,7,0,train,blocking
13,8,0,train,blocking
13,8,0,train,blocking
13,10,0,train,blocking
13,7,0,train,blocking
13,7,0,train,blocking
13,8,0,train,blocking
13,7,0,train,blocking
13,8,0,train,blocking
13,8,0,train,blocking
13,8,0,train,blocking
13,8,0,train,blocking
13,9,0,train,pseudo_similar
13,7,0,train,pseudo_similar
13,8,0,train,pseudo_similar
13,10,0,train,pseudo_similar
13,7,0,train,pseudo_similar
13,9,0,train,pseudo_similar
13,9,0,train,pseudo_similar
13,9,0,train,pseudo_similar
13,8,0,train,pseudo_similar
13,9,0,train,pseudo_similar
13,9,0,train,pseudo_similar
13,8,0,train,pseudo_similar
13,7,0,train,pseudo_similar
13,10,0,train,pseudo_similar
13,8,0,train,pseudo_similar
13,9,0,train,pseudo_similar
13,7,0,train,pseudo_similar
13,10,0,train,pseudo_similar
13,7,0,train,pseudo_similar
13,7,0,train,pseudo_similar
13,7,0,train,pseudo_similar
13,7,0,train,pseudo_similar
13,9,0,train,pseudo_similar
13,9,1,train,positive
13,9,1,train,positive
13,7,1,train,positive
13,10,1,train,positive
13,8,1,train,positive
13,9,1,train,positive
13,9,1,train,positive
13,9,1,train,positive
13,8,1,train,positive
13,9,1,train,positive
13,7,1,train,positive
13,10,1,train,positive
13,7,1,train,positive
13,10,1,train,positive
13,8,1,train,positive
13,8,1,train,positive
13,10,1,train,positive
13,8,1,train,positive
13,10,1,train,positive
13,8,1,train,positive
13,7,1,train,positive
13,9,1,train,positive
13,9,1,train,positive
13,9,1,train,positive
13,7,1,train,positive
13,8,1,train,positive
13,8,0,train,blocking
13,8,0,train,blocking
13,7,0,train,blocking
13,8,0,train,blocking
13,7,1,train,positive
13,9,1,train,positive
